ArrayID	Name	BitVector
A2ML1	A2ML1: 	020022
AADACL2	AADACL2: 	020022
AADAT	AADAT: 	020021
AAGAB	AAGAB: 	211200
AAK1	AAK1: 	212100
AAMDC	AAMDC: 	202200
AAMP	AAMP: 	202200
AAR2	AAR2: 	211200
AARS1	AARS1: 	020012
AATF	AATF: 	212200
ABALON	ABALON: 	202200
ABAT	ABAT: 	202210
ABCA11P	ABCA11P: 	202200
ABCA13	ABCA13: 	202200
ABCA2	ABCA2: 	020022
ABCA4	ABCA4: 	020022
ABCA5	ABCA5: 	212100
ABCA9	ABCA9: 	202200
ABCB8	ABCB8: 	202200
ABCB9	ABCB9: 	202200
ABCC10	ABCC10: 	102210
ABCC11	ABCC11: 	202200
ABCD1	ABCD1: 	202200
ABCD4	ABCD4: 	201210
ABCF3	ABCF3: 	202200
ABCG4	ABCG4: 	020022
ABHD10	ABHD10: 	212200
ABHD11	ABHD11: 	202200
ABHD11-AS1	ABHD11-AS1: 	202200
ABHD12	ABHD12: 	202200
ABHD12B	ABHD12B: 	020022
ABHD13	ABHD13: 	202200
ABHD15	ABHD15: 	202200
ABHD18	ABHD18: 	202200
ABHD2	ABHD2: 	202200
ABHD3	ABHD3: 	202200
ABHD4	ABHD4: 	211210
ABHD6	ABHD6: 	020021
ABL2	ABL2: 	212200
ABLIM1	ABLIM1: 	020022
ABR	ABR: 	020022
ABRACL	ABRACL: 	201200
ABT1	ABT1: 	201200
ABTB1	ABTB1: 	202200
ABTB2	ABTB2: 	202200
ACAD10	ACAD10: 	202200
ACAD8	ACAD8: 	020022
ACAT2	ACAT2: 	020022
ACBD3-AS1	ACBD3-AS1: 	020022
ACBD5	ACBD5: 	202200
ACBD7	ACBD7: 	202200
ACD	ACD: 	202200
ACER1	ACER1: 	020022
ACER2	ACER2: 	202200
ACKR2	ACKR2: 	202200
ACKR3	ACKR3: 	020022
ACO2	ACO2: 	212200
ACOT11	ACOT11: 	020022
ACOT4	ACOT4: 	020122
ACP1	ACP1: 	201200
ACP2	ACP2: 	202200
ACP3	ACP3: 	020022
ACP6	ACP6: 	202200
ACP7	ACP7: 	020022
ACSBG1	ACSBG1: 	020022
ACSF3	ACSF3: 	112200
ACSL3	ACSL3: 	202200
ACSS2	ACSS2: 	020022
ACTA2	ACTA2: 	202200
ACTB	ACTB: 	010122
ACTG1	ACTG1: 	010112
ACTG1P20	ACTG1P20: 	021012
ACTL6A	ACTL6A: 	211200
ACTR3C	ACTR3C: 	020022
ACTRT3	ACTRT3: 	202200
ACVR1	ACVR1: 	202200
ACVR2A	ACVR2A: 	202200
ACVR2B-AS1	ACVR2B-AS1: 	202200
