ProbeID	Ptr	Name	Description
A2ML1	79	A2ML1	
AADACL2	141	AADACL2	
AADAT	209	AADAT	
AAGAB	277	AAGAB	
AAK1	337	AAK1	
AAMDC	397	AAMDC	
AAMP	460	AAMP	
AAR2	520	AAR2	
AARS1	580	AARS1	
AATF	642	AATF	
ABALON	701	ABALON	
ABAT	769	ABAT	
ABCA11P	829	ABCA11P	
ABCA13	899	ABCA13	
ABCA2	972	ABCA2	
ABCA4	1040	ABCA4	
ABCA5	1112	ABCA5	
ABCA9	1173	ABCA9	
ABCB8	1241	ABCB8	
ABCB9	1302	ABCB9	
ABCC10	1370	ABCC10	
ABCC11	1435	ABCC11	
ABCD1	1505	ABCD1	
ABCD4	1572	ABCD4	
ABCF3	1632	ABCF3	
ABCG4	1693	ABCG4	
ABHD10	1756	ABHD10	
ABHD11	1821	ABHD11	
ABHD11-AS1	1889	ABHD11-AS1	
ABHD12	1963	ABHD12	
ABHD12B	2027	ABHD12B	
ABHD13	2096	ABHD13	
ABHD15	2158	ABHD15	
ABHD18	2222	ABHD18	
ABHD2	2295	ABHD2	
ABHD3	2357	ABHD3	
ABHD4	2419	ABHD4	
ABHD6	2481	ABHD6	
ABL2	2543	ABL2	
ABLIM1	2599	ABLIM1	
ABR	2663	ABR	
ABRACL	2722	ABRACL	
ABT1	2786	ABT1	
ABTB1	2846	ABTB1	
ABTB2	2908	ABTB2	
ACAD10	2970	ACAD10	
ACAD8	3036	ACAD8	
ACAT2	3098	ACAT2	
ACBD3-AS1	3158	ACBD3-AS1	
ACBD5	3231	ACBD5	
ACBD7	3293	ACBD7	
ACD	3359	ACD	
ACER1	3417	ACER1	
ACER2	3482	ACER2	
ACKR2	3547	ACKR2	
ACKR3	3612	ACKR3	
ACO2	3677	ACO2	
ACOT11	3737	ACOT11	
ACOT4	3803	ACOT4	
ACP1	3872	ACP1	
ACP2	3927	ACP2	
ACP3	3987	ACP3	
ACP6	4050	ACP6	
ACP7	4116	ACP7	
ACSBG1	4174	ACSBG1	
ACSF3	4245	ACSF3	
ACSL3	4310	ACSL3	
ACSS2	4372	ACSS2	
ACTA2	4433	ACTA2	
ACTB	4499	ACTB	
ACTG1	4558	ACTG1	
ACTG1P20	4620	ACTG1P20	
ACTL6A	4688	ACTL6A	
ACTR3C	4752	ACTR3C	
ACTRT3	4822	ACTRT3	
ACVR1	4891	ACVR1	
ACVR2A	4953	ACVR2A	
ACVR2B-AS1	5017	ACVR2B-AS1	
ACYP1	5098	ACYP1	
ACYP2	5162	ACYP2	
ADAL	5227	ADAL	
ADAM10	5295	ADAM10	
ADAM15	5356	ADAM15	
ADAM19	5420	ADAM19	
ADAM20P1	5487	ADAM20P1	
ADAM21	5561	ADAM21	
ADAM9	5632	ADAM9	
ADAMTS13	5694	ADAMTS13	
ADAMTS4	5771	ADAMTS4	
ADAMTSL4	5843	ADAMTSL4	
ADAMTSL5	5911	ADAMTSL5	
ADAP2	5981	ADAP2	
ADAR	6049	ADAR	
ADARB1	6109	ADARB1	
ADAT1	6178	ADAT1	
ADCY3	6240	ADCY3	
ADCY4	6305	ADCY4	
ADCY7	6373	ADCY7	
ADD1	6438	ADD1	
ADGRF2	6498	ADGRF2	
ADGRF3	6568	ADGRF3	
ADGRF5	6640	ADGRF5	
ADGRG1	6710	ADGRG1	
ADM2	6774	ADM2	
ADNP	6841	ADNP	
ADNP-AS1	6901	ADNP-AS1	
ADO	6975	ADO	
ADPGK	7032	ADPGK	
ADPRHL1	7093	ADPRHL1	
ADSS2	7165	ADSS2	
ADTRP	7227	ADTRP	
AEN	7292	AEN	
AFAP1	7350	AFAP1	
