ProbeID	min	0.5%	1%	2.5%	97.5%	99%	99.5%	max	mean	sd	thr	thrNum	pval	Perc -1.00	Perc -0.95	Perc -0.90	Perc -0.85	Perc -0.80	Perc -0.75	Perc -0.70	Perc -0.65	Perc -0.60	Perc -0.55	Perc -0.50	Perc -0.45	Perc -0.40	Perc -0.35	Perc -0.30	Perc -0.25	Perc -0.20	Perc -0.15	Perc -0.10	Perc -0.05	Perc 0.00	Perc 0.05	Perc 0.10	Perc 0.15	Perc 0.20	Perc 0.25	Perc 0.30	Perc 0.35	Perc 0.40	Perc 0.45	Perc 0.50	Perc 0.55	Perc 0.60	Perc 0.65	Perc 0.70	Perc 0.75	Perc 0.80	Perc 0.85	Perc 0.90	Perc 0.95	Perc 1.00	Expr -1.00	Expr -0.95	Expr -0.90	Expr -0.85	Expr -0.80	Expr -0.75	Expr -0.70	Expr -0.65	Expr -0.60	Expr -0.55	Expr -0.50	Expr -0.45	Expr -0.40	Expr -0.35	Expr -0.30	Expr -0.25	Expr -0.20	Expr -0.15	Expr -0.10	Expr -0.05	Expr 0.00	Expr 0.05	Expr 0.10	Expr 0.15	Expr 0.20	Expr 0.25	Expr 0.30	Expr 0.35	Expr 0.40	Expr 0.45	Expr 0.50	Expr 0.55	Expr 0.60	Expr 0.65	Expr 0.70	Expr 0.75	Expr 0.80	Expr 0.85	Expr 0.90	Expr 0.95	Expr 1.00	Abs 1.00	Abs 1.20	Abs 1.40	Abs 1.60	Abs 1.80	Abs 2.00	Abs 2.20	Abs 2.40	Abs 2.60	Abs 2.80	Abs 3.00	Abs 3.20	Abs 3.40	Abs 3.60	Abs 3.80	Abs 4.00	Abs 4.20	Abs 4.40	Abs 4.60	Abs 4.80	Abs 5.00	Abs 5.20	Abs 5.40	Abs 5.60	Abs 5.80	Abs 6.00	Abs 6.20	Abs 6.40	Abs 6.60	Abs 6.80	Abs 7.00	Abs 7.20	Abs 7.40	Abs 7.60	Abs 7.80	Abs 8.00	Abs 8.20	Abs 8.40	Abs 8.60	Abs 8.80	Abs 9.00	Abs 9.20	Abs 9.40	Abs 9.60	Abs 9.80	Abs 10.00	Abs 10.20	Abs 10.40	Abs 10.60	Abs 10.80	Abs 11.00	Abs 11.20	Abs 11.40	Abs 11.60	Abs 11.80	Abs 12.00	Abs 12.20	Abs 12.40	Abs 12.60	Abs 12.80	Abs 13.00	Abs 13.20	Abs 13.40	Abs 13.60	Abs 13.80	Abs 14.00	Abs 14.20	Abs 14.40	Abs 14.60	Abs 14.80	Abs 15.00	Abs 15.20	Abs 15.40	Abs 15.60	Abs 15.80	Abs 16.00
ENSG00000158485	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.62993940943954	4.62993940943954	4.62993940943954	5.154615611326894	4.47228746663328	0.231952767846461	4.7824366233122	1	0.350217076700434	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.42	4.42	4.42	4.42	4.53	4.53	4.58	4.58	4.78	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5.15	5	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000164342	4.857980995127572	4.857980995127572	4.857980995127572	4.857980995127572	6.780966197577076	6.780966197577076	6.780966197577076	7.0925457415435655	5.86853505039172	0.680510297705576	5.9694877909156	5	0.419681620839363	4.86	4.86	4.86	4.86	5.05	5.05	5.05	5.1	5.1	5.1	5.48	5.48	5.48	5.48	5.55	5.55	5.55	5.7	5.7	5.7	5.97	6.26	6.26	6.26	6.26	6.33	6.33	6.33	6.33	6.33	6.41	6.41	6.41	6.41	6.41	6.78	6.78	6.78	6.78	6.78	7.09	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111344	4.983221650742669	4.983221650742669	4.983221650742669	4.983221650742669	6.858105360029239	6.858105360029239	6.858105360029239	7.745304570264634	6.17807054004845	0.664941439590199	6.36609005746726	4	0.811866859623734	4.98	4.98	4.98	5.68	5.68	5.68	5.78	5.78	5.78	5.79	5.79	5.79	5.88	5.88	5.88	6.03	6.03	6.03	6.11	6.11	6.37	6.52	6.52	6.52	6.52	6.52	6.52	6.59	6.59	6.59	6.59	6.59	6.59	6.59	6.86	6.86	6.86	6.86	6.86	6.86	7.75	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197272	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.9954845188775066	4.9954845188775066	4.9954845188775066	6.053328593449791	4.66166326887484	0.497365200865631	5.29423841640891	1	0.625180897250362	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.49	4.49	4.54	4.54	4.96	4.96	4.97	4.97	5.29	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	6.05	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166090	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.32192809488736	5.96046447753906e-08	4.32192809488736	12	0.850940665701881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163823	6.473137487772256	6.473137487772256	6.473137487772256	6.473137487772256	9.789256490489189	9.789256490489189	9.789256490489189	10.010458172294245	8.21680942815375	1.18823651283101	8.03738610757287	7	0.308248914616498	6.47	6.47	6.47	6.47	6.47	6.57	6.57	6.57	6.57	6.57	7.0	7.0	7.0	7.0	7.0	7.19	7.19	7.19	7.19	7.19	8.04	8.22	8.22	8.22	8.47	8.47	8.47	8.8	8.8	8.8	9.21	9.21	9.21	9.21	9.29	9.29	9.29	9.79	9.79	9.79	10.01	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000086730	8.550131104144457	8.550131104144457	8.550131104144457	8.550131104144457	10.318847810867434	10.318847810867434	10.318847810867434	10.363247748925437	9.72344903582458	0.5365028485661	9.32659567734892	10	0.701881331403763	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	9.33	9.48	9.48	9.51	9.51	9.57	9.57	9.77	9.77	9.87	9.87	9.87	9.94	9.94	10.13	10.13	10.27	10.27	10.32	10.32	10.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000041982	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.527320607877047	4.3390441376365	0.0567674916946909	4.4246243513822	1	0.852387843704776	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.42	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	4.53	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005844	11.586825717395412	11.586825717395412	11.586825717395412	11.586825717395412	12.461566415642436	12.461566415642436	12.461566415642436	12.51788587455679	12.0305130566787	0.292537076264863	12.1278527189136	4	0.0926193921852388	11.59	11.59	11.59	11.76	11.76	11.76	11.83	11.83	11.83	11.85	11.85	11.85	11.9	11.9	11.9	11.91	11.91	11.91	11.93	11.93	12.13	12.33	12.33	12.33	12.33	12.33	12.33	12.37	12.37	12.37	12.37	12.37	12.37	12.37	12.46	12.46	12.46	12.46	12.46	12.46	12.52	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156711	6.895787316463311	6.895787316463311	6.895787316463311	6.895787316463311	8.360452071768867	8.360452071768867	8.360452071768867	8.503229459813719	7.81031838001959	0.48312113589998	7.6617503003239	8	0.480463096960926	6.9	6.9	6.9	6.9	6.9	6.9	6.9	7.17	7.17	7.17	7.17	7.17	7.17	7.17	7.36	7.36	7.36	7.36	7.36	7.36	7.66	7.71	7.71	7.92	7.92	7.92	7.93	7.93	7.93	8.02	8.02	8.02	8.08	8.08	8.08	8.34	8.34	8.34	8.36	8.36	8.5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
