ArrayID	Name	BitVector
COL14A1	COL14A1:COL14A1	200000110010
COL15A1	COL15A1:COL15A1	111111111111
COL17A1	COL17A1:COL17A1	111111111111
COL1A2	COL1A2:COL1A2	111111111111
COL3A1	COL3A1:COL3A1	220100110110
COL4A1	COL4A1:COL4A1	211211111111
COL4A2	COL4A2:COL4A2	120100000000
CPA3	CPA3:CPA3	111111111111
CRABP2	CRABP2:CRABP2	220100110110
CREM	CREM:CREM	000221201221
CRIP1	CRIP1:CRIP1	102201202102
CSF1	CSF1:CSF1	010000202222
CSF1R	CSF1R:CSF1R	201000000000
CSF2	CSF2:CSF2	000222212222
CSF2RA	CSF2RA:CSF2RA	211101000111
CSF3	CSF3:CSF3	111111111111
CSF3R	CSF3R:CSF3R	201100000000
CTGF	CTGF:CTGF	111111111111
CTLA4	CTLA4:CTLA4	201102111211
CTNNB1	CTNNB1:CTNNB1	111111111111
CTSG	CTSG:CTSG	111111111111
CTSL	CTSL:CTSL	222101201222
CTSS	CTSS:CTSS	222101000111
CTTNBP2	CTTNBP2:CTTNBP2	220100110000
CX3CL1	CX3CL1:CX3CL1	111111111111
CX3CR1	CX3CR1:CX3CR1	221111000121
CXCL1	CXCL1:CXCL1	000000000222
CXCL10	CXCL10:CXCL10	100222000221
CXCL11	CXCL11:CXCL11	000212010222
CXCL13	CXCL13:CXCL13	111111111111
CXCL16	CXCL16:CXCL16	211101111111
CXCL2	CXCL2:CXCL2	101000000222
CXCL3	CXCL3:CXCL3	000000101222
CXCL5	CXCL5:CXCL5	001000102222
CXCL6	CXCL6:CXCL6	111111111111
CXCL8	CXCL8:CXCL8	000100000222
CXCL9	CXCL9:CXCL9	100022010222
CXCR2	CXCR2:CXCR2	220000010010
CXCR3	CXCR3:CXCR3	102102102001
CXCR4	CXCR4:CXCR4	222222222000
CYBB	CYBB:CYBB	222002000000
CYP1B1	CYP1B1:CYP1B1	221111011112
CYP3A4	CYP3A4:CYP3A4	111111111111
CYR61	CYR61:CYR61	201000110110
CYSLTR1	CYSLTR1:CYSLTR1	221011011010
CYTIP	CYTIP:CYTIP	010111111222
DAGLB	DAGLB:DAGLB	212111111111
DAXX	DAXX:DAXX	111111011111
DDR2	DDR2:DDR2	001200010101
DES	DES:DES	111111111111
DNAJB6	DNAJB6:DNAJB6	111111111111
DPP4	DPP4:DPP4	020020020222
DUSP1	DUSP1:DUSP1	200212210100
DUSP2	DUSP2:DUSP2	110222222000
DUSP6	DUSP6:DUSP6	210222010221
EDN	EDN:EDN	201210111212
EEF1A1	EEF1A1:EEF1A1	101221111011
EGF	EGF:EGF	111111111111
EGR2	EGR2:EGR2	010122122122
EGR3	EGR3:EGR3	000122000010
EIF4EBP2	EIF4EBP2:EIF4EBP2	112111111111
ELANE	ELANE:ELANE	120100000010
ELL2	ELL2:ELL2	000201202112
ELOVL6	ELOVL6:ELOVL6	000000000222
EMP1	EMP1:EMP1	211202101112
EN1	EN1:EN1	211211111111
ENC1	ENC1:ENC1	220212202000
ENPEP	ENPEP:ENPEP	111111111111
ENPP2	ENPP2:ENPP2	111111111111
EPHB6	EPHB6:EPHB6	000121021000
EPX	EPX:EPX	111111111111
ERCC1	ERCC1:ERCC1	101122111112
ERG	ERG:ERG	111111111111
ETS1	ETS1:ETS1	111111111111
F11R	F11R:F11R	111111111110
FABP4	FABP4:FABP4	111111111111
FADD	FADD:FADD	111111111111
FAF1	FAF1:FAF1	111111111111
FAS	FAS:FAS	110211212112
FASN	FASN:FASN	201222122222
FBP1	FBP1:FBP1	222002222000
FBXL7	FBXL7:FBXL7	211111111111
FCAR	FCAR:FCAR	121101112121
FCER1A	FCER1A:FCER1A	202000000000
FCER2	FCER2:FCER2	111112111111
FCGR1A	FCGR1A:FCGR1A	222002000000
FCGR2A	FCGR2A:FCGR2A	221001000021
FCGR2B	FCGR2B:FCGR2B	222012121020
FCGR3A	FCGR3A:FCGR3A	212101001122
FCN1	FCN1:FCN1	222102000000
FGF10	FGF10:FGF10	111111111111
FGF18	FGF18:FGF18	111111111111
FGF2	FGF2:FGF2	111111111111
FGF7	FGF7:FGF7	120100110110
FGFR1	FGFR1:FGFR1	100222221000
FLNB	FLNB:FLNB	110211212000
FLRT2	FLRT2:FLRT2	111111111111
FLT1	FLT1:FLT1	100222122000
FLT3	FLT3:FLT3	201112212121
FN1	FN1:FN1	202000000000
FOSB	FOSB:FOSB	100202202002
FOSL1	FOSL1:FOSL1	000212010112
FPR1	FPR1:FPR1	111111111111
FPR2	FPR2:FPR2	111111111111
FPR3	FPR3:FPR3	222002010000
FSCN1	FSCN1:FSCN1	100222112222
FURIN	FURIN:FURIN	000100000222
FUT4	FUT4:FUT4	111011111111
FYN	FYN:FYN	121121211011
FZD4	FZD4:FZD4	111111111111
FZD6	FZD6:FZD6	102122111202
FZD9	FZD9:FZD9	111111111111
GADD45B	GADD45B:GADD45B	100112222112
GATA1	GATA1:GATA1	111111111111
GATA2	GATA2:GATA2	111111111111
GATA3	GATA3:GATA3	111011112001
GATA6	GATA6:GATA6	111111111111
GCH1	GCH1:GCH1	000100000222
GEM	GEM:GEM	010111112202
GLG1	GLG1:GLG1	121111111111
GNAI3	GNAI3:GNAI3	011111101111
GPR183	GPR183:GPR183	100212212011
GPR65	GPR65:GPR65	120211121221
GRN	GRN:GRN	222011000000
GSN	GSN:GSN	221002101000
GTF2H2	GTF2H2:GTF2H2	121111011121
GZMA	GZMA:GZMA	010000000222
HAVCR1	HAVCR1:HAVCR1	010200222222
HAVCR2	HAVCR2:HAVCR2	000212111222
HBEGF	HBEGF:HBEGF	000101010201
HDAC5	HDAC5:HDAC5	222222222000
HDAC6	HDAC6:HDAC6	111011111111
HDC	HDC:HDC	000221010000
HES1	HES1:HES1	000221020000
HGF	HGF:HGF	111111111111
HIF1A	HIF1A:HIF1A	010111110121
HIP1R	HIP1R:HIP1R	212111111100
HIST1H1C	HIST1H1C:HIST1H1C	211212221100
HIST2H2AA3	HIST2H2AA3:HIST2H2AA3	101222221102
HIVEP1	HIVEP1:HIVEP1	100111112111
HLA-DMA	HLA-DMA:HLA-DMA	212001111000
HLA-DQB1	HLA-DQB1:HLA-DQB1	112102001001
HMGB1	HMGB1:HMGB1	122111111011
HNF1B	HNF1B:HNF1B	220100010100
HOXD4	HOXD4:HOXD4	111111111111
HPGD	HPGD:HPGD	111111111111
HPGDS	HPGDS:HPGDS	111111111111
HRAS	HRAS:HRAS	111111011111
HSPG2	HSPG2:HSPG2	111111111111
ICAM1	ICAM1:ICAM1	000112111222
ICOS	ICOS:ICOS	000010000020
ICOSLG	ICOSLG:ICOSLG	111212112000
ID1	ID1:ID1	000121020000
ID2	ID2:ID2	010112111121
ID3	ID3:ID3	220100110110
IDO1	IDO1:IDO1	000012001222
IDO2	IDO2:IDO2	111111111111
IER3	IER3:IER3	120111010111
IFIT1	IFIT1:IFIT1	010100000202
IFNA2	IFNA2:IFNA2	111111111111
IFNG	IFNG:IFNG	000000000222
IFNGR1	IFNGR1:IFNGR1	111111211110
IGF1	IGF1:IGF1	111111111111
IGF2	IGF2:IGF2	111111111111
IKBKE	IKBKE:IKBKE	211111110110
IKZF1	IKZF1:IKZF1	111111111111
IL10	IL10:IL10	000000000220
IL10RA	IL10RA:IL10RA	212101011011
IL12A	IL12A:IL12A	220100101111
IL12B	IL12B:IL12B	000000000222
IL15	IL15:IL15	110101010122
IL15RA	IL15RA:IL15RA	000101010212
IL17RA	IL17RA:IL17RA	221111011121
IL18	IL18:IL18	222101111111
IL18R1	IL18R1:IL18R1	110111111112
IL1A	IL1A:IL1A	000201001222
IL1B	IL1B:IL1B	000100000222
IL1R1	IL1R1:IL1R1	101112111111
IL1RL1	IL1RL1:IL1RL1	000000000122
IL1RN	IL1RN:IL1RN	220202101212
IL2	IL2:IL2	111111111111
IL21R	IL21R:IL21R	101212102100
IL22	IL22:IL22	000000000222
IL23A	IL23A:IL23A	000000111222
IL25	IL25:IL25	111111111111
IL27	IL27:IL27	200100000110
IL27RA	IL27RA:IL27RA	101111001122
IL3	IL3:IL3	110002000010
IL33	IL33:IL33	220100010110
IL3RA	IL3RA:IL3RA	100002111222
IL4	IL4:IL4	211111111121
IL4I1	IL4I1:IL4I1	100112111120
