ProbeID	min	0.5%	1%	2.5%	97.5%	99%	99.5%	max	mean	sd	thr	thrNum	pval	Perc -1.00	Perc -0.95	Perc -0.90	Perc -0.85	Perc -0.80	Perc -0.75	Perc -0.70	Perc -0.65	Perc -0.60	Perc -0.55	Perc -0.50	Perc -0.45	Perc -0.40	Perc -0.35	Perc -0.30	Perc -0.25	Perc -0.20	Perc -0.15	Perc -0.10	Perc -0.05	Perc 0.00	Perc 0.05	Perc 0.10	Perc 0.15	Perc 0.20	Perc 0.25	Perc 0.30	Perc 0.35	Perc 0.40	Perc 0.45	Perc 0.50	Perc 0.55	Perc 0.60	Perc 0.65	Perc 0.70	Perc 0.75	Perc 0.80	Perc 0.85	Perc 0.90	Perc 0.95	Perc 1.00	Expr -1.00	Expr -0.95	Expr -0.90	Expr -0.85	Expr -0.80	Expr -0.75	Expr -0.70	Expr -0.65	Expr -0.60	Expr -0.55	Expr -0.50	Expr -0.45	Expr -0.40	Expr -0.35	Expr -0.30	Expr -0.25	Expr -0.20	Expr -0.15	Expr -0.10	Expr -0.05	Expr 0.00	Expr 0.05	Expr 0.10	Expr 0.15	Expr 0.20	Expr 0.25	Expr 0.30	Expr 0.35	Expr 0.40	Expr 0.45	Expr 0.50	Expr 0.55	Expr 0.60	Expr 0.65	Expr 0.70	Expr 0.75	Expr 0.80	Expr 0.85	Expr 0.90	Expr 0.95	Expr 1.00	Abs 1.00	Abs 1.20	Abs 1.40	Abs 1.60	Abs 1.80	Abs 2.00	Abs 2.20	Abs 2.40	Abs 2.60	Abs 2.80	Abs 3.00	Abs 3.20	Abs 3.40	Abs 3.60	Abs 3.80	Abs 4.00	Abs 4.20	Abs 4.40	Abs 4.60	Abs 4.80	Abs 5.00	Abs 5.20	Abs 5.40	Abs 5.60	Abs 5.80	Abs 6.00	Abs 6.20	Abs 6.40	Abs 6.60	Abs 6.80	Abs 7.00	Abs 7.20	Abs 7.40	Abs 7.60	Abs 7.80	Abs 8.00	Abs 8.20	Abs 8.40	Abs 8.60	Abs 8.80	Abs 9.00	Abs 9.20	Abs 9.40	Abs 9.60	Abs 9.80	Abs 10.00	Abs 10.20	Abs 10.40	Abs 10.60	Abs 10.80	Abs 11.00	Abs 11.20	Abs 11.40	Abs 11.60	Abs 11.80	Abs 12.00	Abs 12.20	Abs 12.40	Abs 12.60	Abs 12.80	Abs 13.00	Abs 13.20	Abs 13.40	Abs 13.60	Abs 13.80	Abs 14.00	Abs 14.20	Abs 14.40	Abs 14.60	Abs 14.80	Abs 15.00	Abs 15.20	Abs 15.40	Abs 15.60	Abs 15.80	Abs 16.00
CCL1	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	11.264688892989678	11.264688892989678	11.264688892989678	11.306506053108814	7.62641501754943	2.8518549074315	8.06900549411782	5	0.175637393767705	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.50	4.50	4.50	4.50	6.07	6.07	6.07	6.66	6.66	6.66	8.07	9.02	9.02	9.02	9.02	10.96	10.96	10.96	10.96	10.96	11.07	11.07	11.07	11.07	11.07	11.26	11.26	11.26	11.26	11.26	11.31	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT5A	9.008988783227256	9.008988783227256	9.008988783227256	9.008988783227256	10.77999014279126	10.77999014279126	10.77999014279126	10.891312852219837	10.1011572675352	0.594477480238462	10.1011572675352	6	0.46600566572238	9.01	9.01	9.01	9.01	9.31	9.31	9.31	9.31	9.52	9.52	9.52	9.52	9.70	9.70	9.70	9.70	9.96	9.96	9.96	9.96	10.10	10.21	10.21	10.21	10.55	10.55	10.55	10.55	10.58	10.58	10.58	10.58	10.70	10.70	10.70	10.70	10.78	10.78	10.78	10.78	10.89	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAP130	8.26383255140942	8.26383255140942	8.26383255140942	8.26383255140942	8.831972218865868	8.831972218865868	8.831972218865868	8.952187938154225	8.56528623667274	0.196887682949193	8.53695788250015	7	0.575070821529745	8.26	8.26	8.26	8.26	8.26	8.37	8.37	8.37	8.37	8.37	8.37	8.37	8.37	8.37	8.37	8.39	8.39	8.39	8.39	8.39	8.54	8.59	8.59	8.59	8.61	8.61	8.61	8.63	8.63	8.63	8.63	8.63	8.63	8.63	8.71	8.71	8.71	8.83	8.83	8.83	8.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEM	5.158256228811341	5.158256228811341	5.158256228811341	5.158256228811341	7.252097703037444	7.252097703037444	7.252097703037444	7.5561994733519855	6.33833830563785	0.686877689567714	6.33833830563785	6	0.762039660056657	5.16	5.16	5.16	5.16	5.47	5.47	5.47	5.47	5.63	5.63	5.63	5.63	6.09	6.09	6.09	6.09	6.16	6.16	6.16	6.16	6.34	6.40	6.40	6.40	6.58	6.58	6.58	6.58	6.59	6.59	6.59	6.59	7.00	7.00	7.00	7.00	7.25	7.25	7.25	7.25	7.56	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	3	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4EBP2	8.69752363881355	8.69752363881355	8.69752363881355	8.69752363881355	9.404630684217612	9.404630684217612	9.404630684217612	9.680359523513713	9.22273165643228	0.246603004755655	9.10424186774454	9	0.68271954674221	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	8.91	9.10	9.18	9.18	9.19	9.19	9.27	9.27	9.27	9.29	9.29	9.32	9.32	9.32	9.34	9.34	9.39	9.39	9.39	9.40	9.40	9.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES1	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	6.476219650723027	6.476219650723027	6.476219650723027	7.240218909839586	5.19487007989685	1.01047394228841	5.53215409164456	4	0.0779036827195467	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.73	4.73	4.73	4.85	4.85	5.53	6.02	6.02	6.02	6.02	6.02	6.02	6.44	6.44	6.44	6.44	6.44	6.44	6.44	6.48	6.48	6.48	6.48	6.48	6.48	7.24	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGR3	5.232277010268292	5.232277010268292	5.232277010268292	5.232277010268292	7.922495207063639	7.922495207063639	7.922495207063639	9.820147044030229	6.70838579534105	1.21071386836724	7.27972643496653	3	0.752124645892351	5.23	5.23	5.23	5.63	5.63	5.72	5.72	5.72	5.90	5.90	5.95	5.95	5.95	6.35	6.35	6.72	6.72	6.72	6.75	6.75	7.28	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.52	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	7.92	9.82	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TREX1	6.7247866774477085	6.7247866774477085	6.7247866774477085	6.7247866774477085	8.26171884978794	8.26171884978794	8.26171884978794	8.668388640158621	7.62548084772215	0.484194690247251	7.85353429220381	3	0.756373937677054	6.72	6.72	6.72	7.22	7.22	7.23	7.23	7.23	7.48	7.48	7.51	7.51	7.51	7.53	7.53	7.54	7.54	7.54	7.65	7.65	7.85	8.00	8.00	8.00	8.00	8.00	8.00	8.00	8.00	8.00	8.26	8.26	8.26	8.26	8.26	8.26	8.26	8.26	8.26	8.26	8.67	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP12	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.816087658600206	4.816087658600206	4.816087658600206	5.331275267146615	4.44722032288504	0.29924873708969	4.69780477888039	2	0.110481586402266	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.70	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	4.82	5.33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL10	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	5.837943241891026	5.837943241891026	5.837943241891026	6.700300990794394	4.70484964270351	0.733049931718793	5.33055863215919	2	0.0594900849858357	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.61	4.61	5.33	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	5.84	6.70	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
