ProbeID	min	0.5%	1%	2.5%	97.5%	99%	99.5%	max	mean	sd	thr	thrNum	pval	Perc -1.00	Perc -0.95	Perc -0.90	Perc -0.85	Perc -0.80	Perc -0.75	Perc -0.70	Perc -0.65	Perc -0.60	Perc -0.55	Perc -0.50	Perc -0.45	Perc -0.40	Perc -0.35	Perc -0.30	Perc -0.25	Perc -0.20	Perc -0.15	Perc -0.10	Perc -0.05	Perc 0.00	Perc 0.05	Perc 0.10	Perc 0.15	Perc 0.20	Perc 0.25	Perc 0.30	Perc 0.35	Perc 0.40	Perc 0.45	Perc 0.50	Perc 0.55	Perc 0.60	Perc 0.65	Perc 0.70	Perc 0.75	Perc 0.80	Perc 0.85	Perc 0.90	Perc 0.95	Perc 1.00	Expr -1.00	Expr -0.95	Expr -0.90	Expr -0.85	Expr -0.80	Expr -0.75	Expr -0.70	Expr -0.65	Expr -0.60	Expr -0.55	Expr -0.50	Expr -0.45	Expr -0.40	Expr -0.35	Expr -0.30	Expr -0.25	Expr -0.20	Expr -0.15	Expr -0.10	Expr -0.05	Expr 0.00	Expr 0.05	Expr 0.10	Expr 0.15	Expr 0.20	Expr 0.25	Expr 0.30	Expr 0.35	Expr 0.40	Expr 0.45	Expr 0.50	Expr 0.55	Expr 0.60	Expr 0.65	Expr 0.70	Expr 0.75	Expr 0.80	Expr 0.85	Expr 0.90	Expr 0.95	Expr 1.00	Abs 1.00	Abs 1.20	Abs 1.40	Abs 1.60	Abs 1.80	Abs 2.00	Abs 2.20	Abs 2.40	Abs 2.60	Abs 2.80	Abs 3.00	Abs 3.20	Abs 3.40	Abs 3.60	Abs 3.80	Abs 4.00	Abs 4.20	Abs 4.40	Abs 4.60	Abs 4.80	Abs 5.00	Abs 5.20	Abs 5.40	Abs 5.60	Abs 5.80	Abs 6.00	Abs 6.20	Abs 6.40	Abs 6.60	Abs 6.80	Abs 7.00	Abs 7.20	Abs 7.40	Abs 7.60	Abs 7.80	Abs 8.00	Abs 8.20	Abs 8.40	Abs 8.60	Abs 8.80	Abs 9.00	Abs 9.20	Abs 9.40	Abs 9.60	Abs 9.80	Abs 10.00	Abs 10.20	Abs 10.40	Abs 10.60	Abs 10.80	Abs 11.00	Abs 11.20	Abs 11.40	Abs 11.60	Abs 11.80	Abs 12.00	Abs 12.20	Abs 12.40	Abs 12.60	Abs 12.80	Abs 13.00	Abs 13.20	Abs 13.40	Abs 13.60	Abs 13.80	Abs 14.00	Abs 14.20	Abs 14.40	Abs 14.60	Abs 14.80	Abs 15.00	Abs 15.20	Abs 15.40	Abs 15.60	Abs 15.80	Abs 16.00
CCL18	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	6.112491635741862	6.112491635741862	6.112491635741862	6.211596319969322	4.8733941787586	0.695951647066939	5.25528179556754	3	0.0623229461756374	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.42	4.42	4.74	4.74	4.74	4.80	4.80	5.26	5.73	5.73	5.73	5.73	5.73	5.73	5.73	5.73	5.73	6.11	6.11	6.11	6.11	6.11	6.11	6.11	6.11	6.11	6.11	6.21	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBX1	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	5.0522419811811385	5.0522419811811385	5.0522419811811385	5.468583317006828	4.49114297936384	0.355773765249493	4.79885084725589	2	0.0339943342776204	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.36	4.36	4.80	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.05	5.47	4	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDZK1IP1	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.490570130446201	4.3359815978506	0.0466101963193132	4.40624911266678	1	0.854107648725212	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.41	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	4.49	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H1C	11.240034016608496	11.240034016608496	11.240034016608496	11.240034016608496	13.05197189897835	13.05197189897835	13.05197189897835	13.082799371878458	12.3870914170459	0.642740386888481	12.2884621749737	7	0.226628895184136	11.24	11.24	11.24	11.24	11.24	11.38	11.38	11.38	11.38	11.38	11.84	11.84	11.84	11.84	11.84	11.89	11.89	11.89	11.89	11.89	12.29	12.48	12.48	12.48	12.65	12.65	12.65	12.93	12.93	12.93	12.97	12.97	12.97	12.97	13.00	13.00	13.00	13.05	13.05	13.05	13.08	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TLR9	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	5.466953337123929	5.466953337123929	5.466953337123929	6.259837400589506	4.90347292404555	0.580208297286652	4.98684611243669	5	0.58356940509915	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.58	4.58	4.58	4.72	4.72	4.72	4.99	5.06	5.06	5.06	5.06	5.27	5.27	5.27	5.27	5.27	5.38	5.38	5.38	5.38	5.38	5.47	5.47	5.47	5.47	5.47	6.26	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDO2	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.32192809488736	5.96046447753906e-08	4.32192809488736	12	0.855524079320113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTAFR	4.8529975876133165	4.8529975876133165	4.8529975876133165	4.8529975876133165	7.194264382992004	7.194264382992004	7.194264382992004	7.4212232992251375	6.07534580697387	0.805660856311064	5.9598299135558	7	0.60056657223796	4.85	4.85	4.85	4.85	4.85	5.01	5.01	5.01	5.01	5.01	5.12	5.12	5.12	5.12	5.12	5.45	5.45	5.45	5.45	5.45	5.96	6.09	6.09	6.09	6.18	6.18	6.18	6.37	6.37	6.37	6.63	6.63	6.63	6.63	6.68	6.68	6.68	7.19	7.19	7.19	7.42	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL1RL1	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	6.1154078554140625	6.1154078554140625	6.1154078554140625	6.5570424152637194	4.78031238974013	0.780706472264965	5.21537612706059	3	0.0368271954674221	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.36	4.36	5.22	5.58	5.58	5.58	5.58	5.58	5.58	5.58	5.58	5.58	6.12	6.12	6.12	6.12	6.12	6.12	6.12	6.12	6.12	6.12	6.56	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF7	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	5.468583317006828	5.468583317006828	5.468583317006828	6.414473836430928	4.95869395421234	0.630492534108865	5.04936076517641	5	0.579320113314448	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.32	4.48	4.48	4.48	4.84	4.84	4.84	5.05	5.20	5.20	5.20	5.20	5.42	5.42	5.42	5.42	5.42	5.47	5.47	5.47	5.47	5.47	5.47	5.47	5.47	5.47	5.47	6.41	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAT2	8.550131104144457	8.550131104144457	8.550131104144457	8.550131104144457	10.318847810867434	10.318847810867434	10.318847810867434	10.363247748925437	9.72344903582458	0.536502848566074	9.32659567734892	10	0.701133144475921	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	8.55	9.33	9.48	9.48	9.51	9.51	9.57	9.57	9.77	9.77	9.87	9.87	9.87	9.94	9.94	10.13	10.13	10.27	10.27	10.32	10.32	10.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCA	6.968436404334788	6.968436404334788	6.968436404334788	6.968436404334788	8.085445902194271	8.085445902194271	8.085445902194271	8.116759813381556	7.6188172416351	0.329903393439986	7.52478823302957	8	0.798866855524079	6.97	6.97	6.97	6.97	6.97	6.97	6.97	7.15	7.15	7.15	7.15	7.15	7.15	7.15	7.41	7.41	7.41	7.41	7.41	7.41	7.52	7.58	7.58	7.63	7.63	7.63	7.64	7.64	7.64	7.72	7.72	7.72	7.77	7.77	7.77	7.91	7.91	7.91	8.09	8.09	8.12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB7	8.073123990659818	8.073123990659818	8.073123990659818	8.073123990659818	10.16388863796614	10.16388863796614	10.16388863796614	10.337030878032914	9.07307860807538	0.659010716569229	9.27575963869033	4	0.474504249291785	8.07	8.07	8.07	8.45	8.45	8.45	8.54	8.54	8.54	8.64	8.64	8.64	8.79	8.79	8.79	8.80	8.80	8.80	8.96	8.96	9.28	9.51	9.51	9.51	9.51	9.51	9.51	9.52	9.52	9.52	9.52	9.52	9.52	9.52	10.16	10.16	10.16	10.16	10.16	10.16	10.34	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
