ProbeID	Name	GSM3722267	GSM3722268	GSM3722269	GSM3722270	GSM3722271	GSM3722272	GSM3722273	GSM3722274	GSM3722275	GSM3722276	GSM3722277	GSM3722278
ABCC8	ABCC8:ABCC8	5.855491443101875	4.321928094887363	4.321928094887363	5.442943495848728	4.739308070860385	4.321928094887363	4.321928094887363	5.394033895367782	4.321928094887363	4.92837032301897	5.115199749385445	4.321928094887363
ACAD10	ACAD10:ACAD10	7.7566897447974545	7.7247866774477085	7.8589134706793	6.725741156503952	7.344118334521428	7.372342723017494	6.6372044819022955	7.883742990570445	6.928251870287602	6.949885059226931	6.827183895819525	6.41852730210161
ACOD1	ACOD1:ACOD1	4.321928094887363	4.321928094887363	4.321928094887363	6.644433152406245	5.324090516037983	5.473786911614368	4.321928094887363	4.321928094887363	4.53605290024021	8.505811553919594	6.73308313184512	6.652916657931109
ACOT1	ACOT1:ACOT1	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
ACOT11	ACOT11:ACOT11	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.40735275114004	4.321928094887363	4.321928094887363
ACOX1	ACOX1:ACOX1	8.09892690816006	7.89984025808937	8.468949808826629	7.83970769835037	8.349037902120877	8.174126737420929	7.63727694818761	7.968609199429222	7.903460119581705	7.889351852594646	8.01886780986485	7.898692072560488
ACTB	ACTB:ACTB	14.141560357435548	13.844389968702226	13.713134085666697	13.669367869535527	14.042647757020646	14.18893108976211	13.130480471988234	13.544323333984812	13.535679984171855	15.14739335990455	15.402635051602667	15.1052824303052
ADAM19	ADAM19:ADAM19	4.321928094887363	4.321928094887363	4.495695162624069	5.995258373404688	5.987093437058145	5.929317594911761	4.90544717873885	5.883620816285672	5.428946344769483	8.407310258318192	8.064688881576302	8.418442970957882
ADAM8	ADAM8:ADAM8	9.255854754263627	8.770597826376433	9.062801701503002	9.846524656757284	8.662063046428036	9.42124434188149	9.673627087181249	9.031632288028169	9.692859562385769	8.852435875535619	9.045240907660212	9.102946767459565
ADAMTS1	ADAMTS1:ADAMTS1	7.1255684517780296	7.385258455694315	5.495375380944629	6.705839705883682	7.0246964400939955	6.453023646529057	6.268097485847248	7.424334278459754	5.611172380044005	7.766396393209694	8.500523236770313	7.958262697329545
ADAMTS12	ADAMTS12:ADAMTS12	6.352970338245934	6.162894799374783	4.321928094887363	5.5804470195986635	4.321928094887363	4.321928094887363	4.797012977836145	4.793375711264754	4.682573297347579	4.971313624068879	5.3015876466031875	4.321928094887363
ADAMTS14	ADAMTS14:ADAMTS14	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	5.013015535839256	4.84247606299394	4.321928094887363
ADAMTS17	ADAMTS17:ADAMTS17	6.382667252745041	6.471024839066756	4.3701642805402106	6.208283138412519	4.739308070860385	4.867896463992655	5.879460722538024	5.816599706534912	5.220329954879555	5.468583317006828	5.71671659170597	4.611172380044005
ADAMTS2	ADAMTS2:ADAMTS2	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
ADAMTS3	ADAMTS3:ADAMTS3	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
ADAMTS4	ADAMTS4:ADAMTS4	6.1255684517780296	6.471024839066756	4.434294617959925	5.121015400961366	4.321928094887363	4.321928094887363	5.227278994468321	4.793375711264754	4.635173946674924	4.883620816285672	5.064796645911805	4.321928094887363
ADAMTS9	ADAMTS9:ADAMTS9	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
ADAMTS9-AS2	ADAMTS9-AS2:ADAMTS9-AS2	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
ADCYAP1R1	ADCYAP1R1:ADCYAP1R1	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
ADGRE1	ADGRE1:ADGRE1	5.227278994468321	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.611172380044005
ADGRE5	ADGRE5:ADGRE5	11.094447221699914	9.975160124198187	10.489827895000165	11.869616975525254	10.705027538115516	11.952675734824348	11.737885300815996	10.625608398773961	11.768473827416289	11.546426665408276	11.712668855611986	11.513036673674241
ADORA2A	ADORA2A:ADORA2A	5.411765185006983	4.321928094887363	4.71699089440494	5.821199978056451	5.511910748670928	6.112700132749363	6.826039958896193	6.106222672919126	6.236301266827087	6.468746213754122	6.257387842692651	6.2650992875147375
