ProbeID	Ptr	Name	Description
ENSG00000211727	7715	TRBV7-6	ENST00000390374.3
ENSG00000253188	7798	TRBV6-7	ENST00000390373.2
ENSG00000211721	7865	TRBV6-5	ENST00000390368.2
ENSG00000229769	7932	TRBV10-2	ENST00000426318.2
ENSG00000211720	8000	TRBV11-1	ENST00000390367.3
ENSG00000282285	8068	TRBV4-2	ENST00000632512.1
ENSG00000256590	8135	TRDV3	ENST00000535880.2
ENSG00000211816	8200	TRAV38-1	ENST00000390464.2
ENSG00000211817	8268	TRAV38-2DV8	ENST00000390465.2
ENSG00000211812	8339	TRAV26-2	ENST00000390460.1
ENSG00000211807	8407	TRAV26-1	ENST00000390455.3
ENSG00000211805	8475	TRAV24	ENST00000390453.1
ENSG00000275743	8541	TRBV14	ENST00000617639.1
ENSG00000211799	8607	TRAV19	ENST00000390447.3
ENSG00000276953	8673	TRBV12-4	ENST00000617347.1
ENSG00000211783	8758	TRAV9-1	ENST00000390431.3
ENSG00000211747	8825	TRBV20-1	ENST00000390394.3
ENSG00000211819	8893	TRAV40	ENST00000390467.3
ENSG00000211802	8959	TRAV22	ENST00000390450.3
ENSG00000211801	9025	TRAV21	ENST00000390449.3
ENSG00000211796	9091	TRAV16	ENST00000390444.1
ENSG00000211794	9157	TRAV12-3	ENST00000390442.3
ENSG00000211790	9225	TRAV8-4	ENST00000390438.2
ENSG00000282605	9292	TRBV12-5	ENST00000632829.1
ENSG00000211750	9360	TRBV24-1	ENST00000390397.2
ENSG00000211715	9428	TRBV5-3	ENST00000390362.1
ENSG00000211734	9495	TRBV5-1	ENST00000390381.3
ENSG00000211752	9562	TRBV27	ENST00000390399.3
ENSG00000276557	9628	TRBV18	ENST00000611520.1
ENSG00000211717	9694	TRBV10-1	ENST00000390364.3
ENSG00000211793	9762	TRAV9-2	ENST00000390441.2
ENSG00000282252	9829	TRBV14	ENST00000632432.1
ENSG00000259092	9895	TRAV30	ENST00000557168.1
ENSG00000211808	9977	TRAV8-7	ENST00000390456.3
ENSG00000282939	10044	TRBV7-2	ENST00000634605.1
ENSG00000283063	10111	TRBV6-2	ENST00000634383.1
ENSG00000211745	10178	TRBV4-2	ENST00000390392.3
ENSG00000211806	10245	TRAV25	ENST00000390454.2
ENSG00000211804	10311	TRDV1	ENST00000390452.2
ENSG00000274752	10376	TRBV12-3	ENST00000620569.1
ENSG00000276597	10444	TRBV11-3	ENST00000611787.1
ENSG00000253291	10512	TRBV7-7	ENST00000390377.1
ENSG00000211818	10579	TRAV39	ENST00000390466.1
ENSG00000211813	10645	TRAV34	ENST00000390461.2
ENSG00000211798	10711	TRAV18	ENST00000390446.3
ENSG00000211795	10777	TRAV8-6	ENST00000390443.3
ENSG00000211789	10844	TRAV12-2	ENST00000390437.2
ENSG00000255569	10912	TRAV1-1	ENST00000542354.1
ENSG00000211746	10979	TRBV19	ENST00000390393.3
ENSG00000237702	11045	TRBV3-1	ENST00000390387.3
ENSG00000226660	11112	TRBV2	ENST00000455382.2
ENSG00000211707	11177	TRBV7-1	ENST00000547918.2
ENSG00000211791	11244	TRAV13-2	ENST00000390439.2
ENSG00000211785	11312	TRAV12-1	ENST00000390433.1
ENSG00000211784	11380	TRAV10	ENST00000390432.2
ENSG00000211782	11446	TRAV8-1	ENST00000390430.2
ENSG00000211781	11513	TRAV7	ENST00000390429.3
ENSG00000211779	11578	TRAV5	ENST00000390427.3
ENSG00000211778	11643	TRAV4	ENST00000390426.2
ENSG00000282497	11708	TRBV15	ENST00000631835.1
ENSG00000275243	11774	TRBV16	ENST00000620773.1
ENSG00000211821	11840	TRDV2	ENST00000390469.2
ENSG00000211797	11905	TRAV17	ENST00000390445.2
ENSG00000211786	11971	TRAV8-2	ENST00000390434.3
ENSG00000211780	12038	TRAV6	ENST00000390428.3
ENSG00000282234	12103	TRBV27	ENST00000633283.1
ENSG00000282812	12169	TRBV28	ENST00000619125.2
ENSG00000282628	12235	TRBV29-1	ENST00000634198.1
ENSG00000282730	12320	TRBV24-1	ENST00000633092.1
ENSG00000282621	12388	TRBV19	ENST00000632638.1
ENSG00000282483	12454	TRBV17	ENST00000631663.1
ENSG00000282354	12520	TRBV12-4	ENST00000631824.1
ENSG00000211693	12605	TRGV11	ENST00000390340.2
ENSG00000211698	12671	TRGV4	ENST00000390345.2
ENSG00000282803	12736	TRBV5-1	ENST00000633384.1
ENSG00000282449	12803	TRBV23-1	ENST00000633842.1
ENSG00000282407	12871	TRBV13	ENST00000633796.1
ENSG00000282704	12937	TRBV7-6	ENST00000633265.1
ENSG00000282470	13004	TRBV6-7	ENST00000631511.1
ENSG00000282098	13071	TRBV5-6	ENST00000632216.1
ENSG00000277110	13138	TRBV6-5	ENST00000633072.1
ENSG00000282711	13205	TRBV11-1	ENST00000634176.1
ENSG00000282225	13273	TRBV7-1	ENST00000632308.1
ENSG00000281970	13340	TRBV6-1	ENST00000631557.1
ENSG00000281963	13438	TRBV25-1	ENST00000610439.4
ENSG00000282771	13506	TRBV18	ENST00000631559.1
ENSG00000282415	13572	TRBV16	ENST00000633244.1
ENSG00000211695	13638	TRGV9	ENST00000444775.2
ENSG00000211699	13720	TRGV3	ENST00000390346.2
ENSG00000282748	13785	TRBV5-7	ENST00000633790.1
ENSG00000282179	13852	TRBV7-7	ENST00000631548.1
ENSG00000282134	13919	TRBV6-8	ENST00000632425.1
ENSG00000282459	14034	TRBV6-6	ENST00000633963.1
ENSG00000233306	14101	TRGV2	ENST00000426402.2
ENSG00000282618	14166	TRBV10-1	ENST00000632248.1
ENSG00000282204	14234	TRBV9	ENST00000633328.1
ENSG00000282466	14314	TRBV5-4	ENST00000633696.1
ENSG00000282208	14381	TRBV12-3	ENST00000633292.1
ENSG00000282040	14449	AC233282.1	ENST00000632560.1
ENSG00000211701	14519	TRGV1	ENST00000390348.2
ENSG00000211697	14584	TRGV5	ENST00000390344.2
ENSG00000282577	14649	TRBV5-5	ENST00000632187.1
ENSG00000282719	14716	TRBV6-2	ENST00000632016.1
ENSG00000282543	14783	AC234635.3	ENST00000631427.1
ENSG00000282353	14853	AC234635.1	ENST00000632148.1
ENSG00000282506	14923	TRBV7-2	ENST00000631392.1
ENSG00000282240	14990	TRBV6-4	ENST00000633472.1
ENSG00000282203	15057	TRBV7-3	ENST00000631882.1
ENSG00000282007	15124	TRBV10-2	ENST00000633575.1
ENSG00000282054	15192	AC229888.1	ENST00000631639.1
ENSG00000282242	15262	TRBV11-3	ENST00000634111.1
ENSG00000282340	15330	TRBV10-3	ENST00000631471.1
ENSG00000281943	15398	TRBV7-9	ENST00000632021.1
ENSG00000282148	15465	TRBV5-3	ENST00000634123.1
ENSG00000211696	15532	TRGV8	ENST00000390343.2
